Gender,Job_Title,Experience_Years,Skills_Required,Education_Level,Location,Salary_INR
Female,Software Engineer,9,"Technical Skills, Problem Solving, Project Management",High School,Mumbai,782117
Female,Software Engineer,8,"Technical Skills, Problem Solving, Project Management",Bachelors,Mumbai,835963
Male,Software Engineer,18,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Mumbai,1666673
Female,Software Engineer,18,"Technical Skills, Problem Solving, Project Management",Bachelors,Delhi,1194803
Male,Software Engineer,18,"Technical Skills, Problem Solving, Project Management",Bachelors,Delhi,1364825
Male,Software Engineer,1,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Delhi,823817
Male,Software Engineer,7,"Technical Skills, Problem Solving, Project Management",High School,Bangalore,829676
Female,Software Engineer,11,"Technical Skills, Problem Solving, Project Management",Bachelors,Bangalore,928842
Male,Software Engineer,6,"Technical Skills, Problem Solving, Project Management",Bachelors,Bangalore,913263
Male,Software Engineer,8,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Chennai,1068995
Male,Software Engineer,19,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Chennai,1463822
Female,Software Engineer,3,"Technical Skills, Problem Solving, Project Management",High School,Chennai,472109
Female,Software Engineer,4,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Hyderabad,732994
Female,Software Engineer,13,"Technical Skills, Problem Solving, Project Management",Bachelors,Hyderabad,971809
Male,Software Engineer,8,"Technical Skills, Problem Solving, Project Management",Bachelors,Hyderabad,841021
Male,Software Engineer,1,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Pune,744384
Female,Software Engineer,3,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Pune,794442
Male,Software Engineer,2,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Pune,801806
Male,Software Engineer,16,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Kolkata,1251751
Female,Software Engineer,20,"Technical Skills, Problem Solving, Project Management",High School,Kolkata,813916
Male,Software Engineer,14,"Technical Skills, Problem Solving, Project Management",Bachelors,Kolkata,838250
Male,Software Engineer,20,"Technical Skills, Problem Solving, Project Management",Bachelors,Ahmedabad,1220648
Male,Software Engineer,5,"Technical Skills, Problem Solving, Project Management",Bachelors,Ahmedabad,655623
Male,Software Engineer,18,"Technical Skills, Problem Solving, Project Management",Bachelors,Ahmedabad,1009535
Male,Software Engineer,6,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Surat,706557
Female,Software Engineer,0,"Technical Skills, Problem Solving, Project Management",High School,Surat,311506
Male,Software Engineer,7,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Surat,748854
Male,Software Engineer,20,"Technical Skills, Problem Solving, Project Management",High School,Jaipur,816204
Female,Software Engineer,14,"Technical Skills, Problem Solving, Project Management",Bachelors,Jaipur,763515
Female,Software Engineer,0,"Technical Skills, Problem Solving, Project Management",Bachelors,Jaipur,384044
Female,Software Engineer,20,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Lucknow,961707
Male,Software Engineer,19,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Lucknow,1149039
Female,Software Engineer,7,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Lucknow,635396
Female,Software Engineer,9,"Technical Skills, Problem Solving, Project Management",High School,Kanpur,487229
Male,Software Engineer,10,"Technical Skills, Problem Solving, Project Management",Bachelors,Kanpur,624460
Male,Software Engineer,19,"Technical Skills, Problem Solving, Project Management",Bachelors,Kanpur,824353
Male,Software Engineer,3,"Technical Skills, Problem Solving, Project Management",Bachelors,Nagpur,540257
Female,Software Engineer,6,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Nagpur,779974
Female,Software Engineer,18,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Nagpur,1140345
Male,Software Engineer,9,"Technical Skills, Problem Solving, Project Management",Bachelors,Indore,632036
Female,Software Engineer,1,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Indore,448418
Female,Software Engineer,16,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Indore,914642
Female,Software Engineer,8,"Technical Skills, Problem Solving, Project Management",Bachelors,Patna,518230
Male,Software Engineer,13,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Patna,919195
Female,Software Engineer,1,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Patna,457374
Female,Software Engineer,2,"Technical Skills, Problem Solving, Project Management",Bachelors,Bhopal,426970
Male,Software Engineer,9,"Technical Skills, Problem Solving, Project Management",Bachelors,Bhopal,696495
Male,Software Engineer,14,"Technical Skills, Problem Solving, Project Management",Bachelors,Bhopal,824620
Non-binary,Software Engineer,4,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Coimbatore,585622
Male,Software Engineer,20,"Technical Skills, Problem Solving, Project Management",Bachelors,Coimbatore,994995
Male,Software Engineer,6,"Technical Skills, Problem Solving, Project Management",Bachelors,Coimbatore,582599
Female,Software Engineer,16,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Kochi,1072148
Male,Software Engineer,12,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Kochi,891758
Male,Software Engineer,3,"Technical Skills, Problem Solving, Project Management",Bachelors,Kochi,519096
